#format:preference,cap,concurrency,Y[,latency]
#different request:
#attr:
0,200,500,0.849491528592,0.371432882346
1,200,500,0.881004256763,0.373506240854
2,200,500,0.957644470528,0.565723623405
3,200,500,0.976510971416,0.460025734855
4,200,500,0.872837912429,0.335622826822
5,200,500,0.892475523579,0.470415197922
#brownout:
0,200,500,0.709236179468,0.34387887903
1,200,500,0.868456535804,0.339655824311
2,200,500,0.416926460724,0.328452113803
3,200,500,0.413302758476,0.348151186825
4,200,500,0.83181546419,0.326997868646
5,200,500,0.654311602614,0.314457943259

#different cap:
#attr:
1,50,500,0.884376565611,0.337903742762
1,100,500,0.970619592443,0.213413762994
1,150,500,0.886711678771,0.335253450417
1,200,500,0.871187597741,0.34039727247
1,250,500,0.866697132031,0.347586723804
1,300,500,0.933816708421,0.338349817107
1,350,500,0.945623707734,0.329457511781
1,400,500,0.973787523784,0.360195396589
#brownout:
1,50,500,0.871051557143,0.351597182126
1,100,500,0.872256854533,0.36149204738
1,150,500,0.863348448688,0.334094234692
1,200,500,0.857296229343,0.332812364236
1,250,500,0.850777604132,0.304924464901
1,300,500,0.892290940702,0.245754107122
1,350,500,0.900149546651,0.281879004986
1,400,500,0.897811878973,0.271472300059

#different concurrency:
#attr:
1,200,100,0.969245039146,0.324833625202
1,200,200,0.918346796564,0.326719790805
1,200,500,0.897482549055,0.370673331183
1,200,1000,0.754368023555,0.459816788914
1,200,1500,0.692184479278,0.467142175848
1,200,2000,0.650155900623,0.490510011164
1,200,3000,0.728082383418,0.445181018327
1,200,4000,0.622756223542,0.490932660572
#brownout:
1,200,100,0.952481601719,0.234484859114
1,200,200,0.840252898482,0.361239138157
1,200,500,0.844365053091,0.353113864906
1,200,1000,0.826390359699,0.378195251964
1,200,1500,0.678240448044,0.474379903242
1,200,2000,0.490116953639,0.478170521151
1,200,3000,0.464525460621,0.545673769199
1,200,4000,0.301170431556,0.543893292191


#thinktime change from 0.05 to 0.01
#different request:
#attr:
0,200,500,0.871604901252,0.376300018079
1,200,500,0.849262880314,0.377980180335
2,200,500,0.9649512255,0.544160097456
3,200,500,0.96067574781,0.562673885682
4,200,500,0.847481122379,0.368768381947
5,200,500,0.821902180042,0.386063171292

#different cap:
#attr:
1,50,500,0.966829226283,0.244276121062
1,100,500,0.869534330412,0.341375389535
1,150,500,0.86121537613,0.407722038648
1,200,500,0.945050027461,0.135046530698
1,250,500,0.849735236737,0.366300557232
1,300,500,0.884047223679,0.313848593242
1,350,500,0.902363489832,0.296394442881
1,400,500,0.943079244143,0.39233551173

#different concurrency:
#attr:
1,200,100,0.991653742283,0.21195640564
1,200,200,0.903862403807,0.36119716369
1,200,500,0.795712387788,0.397669538471
1,200,1000,0.795253838153,0.367674534742
1,200,1500,0.656214068097,0.493499805471
1,200,2000,0.701089478206,0.465053700403
1,200,3000,0.696862293652,0.448377404096
1,200,4000,0.686622204436,0.451494658898


